operation,scheme,mean_ms,variance_ms
Blind mem,RSA,18.82219930,4.59546774
Blind mem,Class group,56.68227785,15.36767417
Blind mem,Bilinear,0.93797477,0.00040552
Unblind mem,RSA,10.70582115,0.00067600
Unblind mem,Class group,46.58090105,0.00122633
Unblind mem,Bilinear,0.21439027,0.00000046
Verify mem upd,RSA,90.95399125,0.00933614
Verify mem upd,Class group,513.38998330,2.64774515
Verify mem upd,Bilinear,8.22761261,0.00007809
Blind non-mem,RSA,13.15439157,0.60296499
Blind non-mem,Class group,8.02870842,0.68853429
Blind non-mem,Bilinear,0.74939777,0.00002666
Unblind non-mem,RSA,6.25482583,0.00009173
Unblind non-mem,Class group,40.81639037,0.00637123
Unblind non-mem,Bilinear,0.31719063,0.00001360
Verify non-mem upd,RSA,20.28619894,0.01239986
Verify non-mem upd,Class group,161.65445411,0.29552389
Verify non-mem upd,Bilinear,8.30983336,0.00438718
